code,description,price,unit,bundle,minimum_sale
ESP012,"ESPATULA  M/MADERA 4"" RADIANT","0,00",PZA,240,240
ESP013,"ESPATULA  M/MADERA 1"" RADIANT","16,10",PZA,240,240
EST001,ESTAÑO SOLDAR 40/60 0.8MM TUBO 16 GRMS BUFFALO,"0,00",PZA,400,400
EST002,ESTAÑO SOLDAR 40/60 1 MM CARRETE 453 GRMS BUFFALO,"0,00",PZA,40,10
FUN010,"FUNDA 4"" X  10 MM TERMOFUSION PELO CORTO RADIANT PRO","18,98",PZA,240,240
FUN011,"FUNDA 4"" X 14 MM TERMOFUSION PELO MEDIO RADIANT PRO","18,98",PZA,240,240
FUN012,"FUNDA 4"" X 18 MM TERMOFUSION PELO LARGO RADIANT PRO","18,98",PZA,240,240
FUN031,"FUNDA 9"" PARA TEXTURIZAR CORE PVC RADIANT","80,42",PZA,96,96
FUN040,"FUNDA 9"" X 14MM PVC CORE ECONOMICA","0,00",PZA,200,200
FUN060,"FUNDA GOMA ESPUMA 9"" X 1 1/2"" RADIANT","135,68",PZA,60,60
FUN070,"FUNDA 9"" X 6 MM TERMOFUSION PELO CORTO RADIANT PRO","0,00",PZA,120,120
FUN071,"FUNDA 9"" X 14 MM TERMOFUSION PELO MEDIO RADIANT PRO","0,00",PZA,120,120
FUN072,"FUNDA 9"" X 24 MM TERMOFUSION PELO LARGO RADIANT PRO","0,00",PZA,120,120
FUN080,"FUNDA (REPUESTO)  2"" WHITE FOAM  (TWIN PACK)  RADIANT","30,87",PAR,600,600
FUN081,"FUNDA (REPUESTO)  3"" WHITE FOAM  (TWIN PACK)  RADIANT","39,17",PAR,300,300
FUN082,"FUNDA (REPUESTO)  4"" WHITE FOAM  (TWIN PACK)  RADIANT","48,67",PAR,300,300
FUN090,"FUNDA-RODILLO 2"" WHITE FOAM  ALTA DENSIDAD RADIANT","39,17",PZA,120,120
FUN091,"FUNDA-RODILLO 3"" WHITE FOAM  ALTA DENSIDAD RADIANT","0,00",PZA,100,100
FUN092,"FUNDA-RODILLO 4"" WHITE FOAM  ALTA DENSIDAD RADIANT","0,00",PZA,80,80
GUA010,GUANTE ALGODÓN TEJIDO PEPITAS PVC 8 OZ. REFORZADO,"37,78",PAR,240,240
HOJ003,HOJA SIERRA CALADORA METAL/MADERA 5 PZAS BUFFALO,"0,00",JGO,200,200
KIT006,KIT PINTAR PISTOLA+ACCESORIOS 5 PZAS MARCH,"0,00",JGO,10,10
KIT012,KIT PINTAR PROF. 3 PZAS BDJA MEDIANA YELLOW PRO RADIANT,"0,00",JGO,12,240
KIT012B,KIT PINTAR PROF. 3 PZAS BDJA MEDIANA BLACK PRO RADIANT,"235,00",JGO,12,240
KIT014,KIT MANGO-RODILLO (SIN BANDEJA),"0,00",JGO,12,48
KIT020,KIT BANDEJA+RODILLO MINI 2” CON 2 FUNDAS AMARILLAS RADIANT,"0,00",JG,12,240
KIT030,KIT BANDEJA+RODILLO MINI 3” CON 2 FUNDAS AMARILLAS RADIANT,"0,00",JGO,12,240
KIT090,KIT BANDEJA+RODILLO 2” PROFES.CON 1 FUNDA WHITE AD RADIANT,"0,00",JGO,12,240
KIT091,KIT BANDEJA+RODILLO 3” PROFES.CON 1  FUNDA WHITE AD RADIANT,"64,19",JGO,12,240
KIT092,KIT BANDEJA+RODILLO 4” PROFES.CON 1  FUNDA WHITE AD RADIANT,"75,10",JGO,12,240
MAS001,MASCARILLA ANTIPOLVO C/SOPORTE 50 PZAS,"0,00",CJA,20,40
MEC001,MECHA HSS 13 PCS (1/16~1/4) X1/64 DIN 338 KIEFER,"182,92",JGO,100,100
MEC002,MECHA HSS 29 PCS (1/16~1/2) X1/16 DIN 338 KIEFER,"1.632,25",JGO,20,10
MEC005,MECHA HSS 11/64 DORADA DIN 338 KIEFER,"0,00",PZA,2000,100
MEC006,MECHA HSS 13/64 DORADA DIN 338 KIEFER,"17,99",PZA,2000,100
